"Reference","Value","Qty","LCSC"
"C1","10uF","1","C13585 "
"C2","2.7nF","1","C2918070"
"C3","100nF","1","C28233"
"C4","39pF","1","C576897"
"C5","47pF","1","C113821"
"C6,C7,C8","22 uF","3","C87996"
"D1","SMF5V0A","1","C42387343"
"D2","GREEN","1","C5875740"
"D3,D4,D5,D6","BLUE","4","C965817"
"J1,J2","Screw_Terminal_01x02","2","C918120"
"J3,J5","Conn_01x04_Male","2","C131334"
"J4","Conn_01x03_Male","1","C131339"
"L1","3.3uH","1","C7587741"
"MK1,MK2,MK3,MK4,Q1,Q2,Q3,USB1","HSBA100P04_C2987717,JTJ-USB-AF-08,M2.5,MMPQ3904","8",""
"P1","Conn_02x20_Odd_Even","1","C50982"
"R1,R7","47k","2","C2989281"
"R2","200k","1","C728645"
"R3","16k","1","C865809"
"R4","120k","1","C103948"
"R5","22.1k","1","C2692772"
"R6,R9","10k","2","C110775"
"R8","150ohm","1","C513734"
"R10","20k","1","C469660"
"R11,R12,R13,R14","1k","4","C110774"
"R15,R16,R17,R18","82","4","C706251"
"U1","AP64500","1","C2070920"
"U2","DMMT5401","1","C154733"
